date,S,I,R,observed_I,beta,nu
2020-02-08,14699996.0,4.0,0.0,4.0,1.0812986268511735,1.0
2020-02-15,14699991.67480667,4.325193330481018,4.0,4.0,1.0812986268511735,1.0
2020-02-22,14699986.997983709,4.676822960443048,8.325193330481017,5.0,1.0812986268511735,1.0
2020-02-29,14699981.940945936,5.05703777224524,13.002016290924065,18.0,1.0812986268511735,1.0
2020-03-07,14699976.472784655,5.468161281380199,18.059054063169306,33.0,1.0812986268511735,1.0
2020-03-14,14699970.560078833,5.912705821710512,23.527215344549504,181.0,1.0812986268511735,1.0
2020-03-21,14699964.166690951,6.393387881826422,29.439921166260014,628.0,1.0812986268511735,1.0
2020-03-28,14699957.253546266,6.91314468574626,35.833309048086434,1955.0,1.0812986268511735,1.0
2020-04-04,14699949.778394148,7.475152118698239,42.746453733832695,4753.0,1.0812986268511735,1.0
2020-04-11,14699941.695550041,8.082844106839953,50.221605852530935,7921.0,1.0812986268511735,1.0
2020-04-18,14699932.955616472,8.739933568537289,58.304449959370885,12182.0,1.0812986268511735,1.0
2020-04-25,14699923.505181408,9.450435064288166,67.04438352790817,15835.0,1.0812986268511735,1.0
2020-05-02,14699913.286492124,10.21868928259291,76.49481859219634,18743.0,1.0812986268511735,1.0
2020-05-09,14699902.237102615,11.049389510100378,86.71350787478924,21104.0,1.0812986268511735,1.0
2020-05-16,14699890.289492369,11.94761024626002,97.76289738488963,23329.0,1.0812986268511735,1.0
2020-05-23,14699877.370654233,12.9188381355518,109.71050763114965,25950.0,1.0812986268511735,1.0
2020-05-30,14699863.401648829,13.969005404220518,122.62934576670145,28563.0,1.0812986268511735,1.0
2020-06-06,14699848.297122825,15.104526003385434,136.59835117092197,30865.0,1.0812986268511735,1.0
2020-06-13,14699831.964788148,16.332334676512733,151.70287717430742,32337.0,1.0812986268511735,1.0
2020-06-20,14699814.304858962,17.659929186615337,168.03521185082016,33563.0,1.0812986268511735,1.0
2020-06-27,14699795.209443005,19.095415957275907,185.6951410374355,34813.0,1.0812986268511735,1.0
2020-07-04,14699774.561883602,20.64755940177491,204.7905569947114,35897.0,1.0812986268511735,1.0
2020-07-11,14699752.236048365,22.325835236352887,225.43811639648632,36765.0,1.0812986268511735,1.0
2020-07-18,14699728.095560268,24.14048809705846,247.76395163283922,37698.0,1.0812986268511735,1.0
2020-07-25,14699701.992966462,26.102593804850994,271.90443972989766,38692.0,1.0812986268511735,1.0
2020-08-01,14699673.768839812,28.224126650767673,298.00703353474864,39500.0,1.0812986268511735,1.0
2020-08-08,14699643.25080771,30.51803210216283,326.23116018551633,40091.0,1.0812986268511735,1.0
2020-08-15,14699610.252502348,32.99830536242616,356.74919228767914,40702.0,1.0812986268511735,1.0
2020-08-22,14699574.572426097,35.6800762503346,389.7474976501053,41432.0,1.0812986268511735,1.0
2020-08-29,14699535.992725195,38.57970090144767,425.4275739004399,42280.0,1.0812986268511735,1.0
2020-09-05,14699494.277864363,41.71486083288151,464.00727480188755,43256.0,1.0812986268511735,1.0
2020-09-12,14699449.173194408,45.10466995456368,505.7221356347691,44767.0,1.0812986268511735,1.0
2020-09-19,14699400.403404254,48.76979015485504,550.8268055893327,47139.0,1.0812986268511735,1.0
2020-09-26,14699347.670848118,52.73255613640949,599.5965957441878,50262.0,1.0812986268511735,1.0
2020-10-03,14699290.653737888,57.01711022951224,652.3291518805972,54487.0,1.0812986268511735,1.0
2020-10-10,14699229.004189923,61.649547965082114,709.3462621101095,59526.0,1.0812986268511735,1.0
2020-10-17,14699162.346114675,66.65807524823298,770.9958100751916,64800.0,1.0812986268511735,1.0
2020-10-24,14699090.272936638,72.07317803595173,837.6538853234246,70841.0,1.0812986268511735,1.0
2020-10-31,14699012.34513115,77.9278054892507,909.7270633593763,77232.0,1.0812986268511735,1.0
2020-11-07,14698928.08756351,84.25756764126606,987.654868848627,84835.0,1.0812986268511735,1.0
2020-11-14,14698836.98661481,91.10094869836647,1071.912436489893,95278.0,1.0812986268511735,1.0
2020-11-21,14698738.487077639,98.49953717155422,1163.0133851882595,105316.0,1.0812986268511735,1.0
2020-11-28,14698631.988803519,106.49827412040744,1261.5129223598137,116458.0,1.0812986268511735,1.0
2020-12-05,14698516.843082637,115.14572088161776,1368.011196480221,129145.0,1.0812986268511735,1.0
2020-12-12,14698392.348734887,124.49434774887473,1483.1569173618389,142211.0,1.0812986268511735,1.0
2020-12-19,14698257.747889716,134.60084517043236,1607.6512651107137,157878.0,1.0812986268511735,1.0
2020-12-26,14698112.221430581,145.52645913509926,1742.252110281146,173501.0,1.0812986268511735,1.0
2021-01-02,14697954.884078054,157.33735252647162,1887.7785694162453,193960.0,1.0812986268511735,1.0
2021-01-09,14697784.779083716,170.1049943387306,2045.115921942717,218835.0,1.0812986268511735,1.0
2021-01-16,14697600.872504951,183.90657876488098,2215.2209162814474,240220.0,1.0812986268511735,1.0
2021-01-23,14697402.047028663,198.82547628939835,2399.1274950463285,256636.0,1.0812986268511735,1.0
2021-01-30,14697187.09530962,214.9517190411802,2597.952971335727,269410.0,1.0812986268511735,1.0
2021-02-06,14696954.712786833,232.38252278855185,2812.904690376907,279192.0,1.0812986268511735,1.0
2021-02-13,14696703.489938749,251.2228480846922,3045.287213165459,287093.0,1.0812986268511735,1.0
2021-02-20,14696431.903935552,271.58600319774865,3296.510061250151,294555.0,1.0812986268511735,1.0
2021-02-27,14696138.309643969,293.59429158326867,3568.0960644478996,302237.0,1.0812986268511735,1.0
2021-03-06,14695820.929937193,317.3797067751324,3861.6903560311684,310175.0,1.0812986268511735,1.0
2021-03-13,14695477.845259512,343.0846776821626,4179.0700628063005,319674.0,1.0812986268511735,1.0
2021-03-20,14695106.982392134,370.8628673776664,4522.154740488463,330714.0,1.0812986268511735,1.0
2021-03-27,14694706.102363579,400.8800285542854,4893.01760786613,345114.0,1.0812986268511735,1.0
2021-04-03,14694272.787444698,433.31491888185093,5293.897636420415,364059.0,1.0812986268511735,1.0
2021-04-10,14693804.427165153,468.3602795456827,5727.212555302266,389643.0,1.0812986268511735,1.0
2021-04-17,14693298.203284902,506.2238802500514,6195.572834847949,420526.0,1.0812986268511735,1.0
2021-04-24,14692751.073650964,547.1296339382368,6701.796715098,448876.0,1.0812986268511735,1.0
2021-05-01,14692159.754866567,591.3187843971725,7248.926349036237,474091.0,1.0812986268511735,1.0
